Publication Number,Priority Date,Inventor - w/address,Assignee - Original w/address
WO2010033643A2,2008-09-17 | 2009-09-16,"MERCOLA Mark,US | DAWSON Marcia I.,US | CASHMAN John,US","BURNHAM INSTITUTE FOR MEDICAL RESEARCH,US | MERCOLA Mark,US | DAWSON Marcia I.,US | CASHMAN John,US"
WO2009020632A1,2007-08-06 | 2008-08-06,"SNYDER Evan Y,US | GONZALEZ Rodolfo,US","BURNHAM INSTITUTE FOR MEDICAL RESEARCH,US | SNYDER Evan Y,US | GONZALEZ Rodolfo,US"
WO2010144696A1,2009-06-11 | 2010-06-10,"SNYDER Evan,US | SINGEC Ilyas,US","BURNHAM INSTITUTE FOR MEDICAL RESEARCH,US | SNYDER Evan,US | SINGEC Ilyas,US"
WO2006086746A3,2005-02-09 | 2006-02-09,"TERSKIKH Alexy,US | BAJPAI Ruchi,US","BURNHAM INSTITUTE FOR MEDICAL RESEARCH,US | TERSKIKH Alexy,US | BAJPAI Ruchi,US"
WO2009062113A1,2007-11-07 | 2008-11-07,"LEVINE Fred,US | ITKIN-ANSARI Pamela,US | MERCOLA Mark,US","BURNHAM INSTITUTE FOR MEDICAL RESEARCH,US | THE REGENTS OF THE UNIVERSITY OF CALIFORNIA,US | LEVINE Fred,US | ITKIN-ANSARI Pamela,US | MERCOLA Mark,US"
WO2003021222A2,2001-08-31 | 2001-11-14 | 2001-11-20 | 2002-02-05 | 2002-02-19 | 2002-08-30,"SELVAN Gowri Pyapali,US | GORDON John Francis,US | BRAZIL Karen Jean,US | URCIA Joseph Roby Iringan,US","BURSTEIN TECHNOLOGIES INC.,US"
WO2008011524A2,2006-07-20 | 2007-07-19,"BURT Richard,US","BURT Richard,US"
WO2008011524A3,2006-07-20 | 2007-07-19,"BURT Richard,US","BURT Richard,US"
WO2005041795A1,2003-10-31 | 2004-10-29,"BURTON Charles V.,US","BURTON Charles V.,US"
WO2004007687A2,2002-07-16 | 2003-07-16,"BUSSELL Stuart,US","BUSSELL Stuart,US"
WO2000016848A1,1998-09-24 | 1999-09-24,"CAFFERATA Robert L.,US","C.R. BARD INC.,US"
WO2007008829A2,2005-07-08 | 2006-07-07,"MCDERMOTT John D.,US | TESSMER Alexander W.,US | BRATT William,US | SPILKA David G.,US | DECANT Leonard J. Jr.,US","C.R. BARD INC.,US"
WO2007008829A3,2005-07-08 | 2006-07-07,"MCDERMOTT John D.,US | TESSMER Alexander W.,US | BRATT William,US | SPILKA David G.,US | DECANT Leonard J. Jr.,US","C.R. BARD INC.,US | MCDERMOTT John D.,US | TESSMER Alexander W.,US | BRATT William,US | SPILKA David G.,US | DECANT Leonard J. Jr.,US"
WO2002028432A3,2000-10-04 | 2001-10-02,"BOMAN Bruce M.,US","CA*TX INC.,US"
WO2002028432A2,2000-10-04 | 2001-10-02,"BOMAN Bruce M.,US","CA*TX INC.,US | BOMAN Bruce M.,US"
WO2005017125A2,2003-08-14 | 2004-08-16,"SALAHUDDIN Syed Zaki,US","CALIFORNIA INSTITUTE OF MOLECULAR MEDICINE,US | SALAHUDDIN Syed Zaki,US"
WO1996040877A1,1995-06-07 | 1996-06-06,ANDERSON David J.,CALIFORNIA INSTITUTE OF TECHNOLOGY | ANDERSON David J.
WO1996027665A3,1995-03-03 | 1996-03-01,ANDERSON David J. | SCHOENHERR Christopher J.,CALIFORNIA INSTITUTE OF TECHNOLOGY | ANDERSON David J. | SCHOENHERR Christopher J.
WO1994002593A1,1992-07-27 | 1992-10-29 | 1993-07-26,ANDERSON David J. | STEMPLE Derek L.,CALIFORNIA INSTITUTE OF TECHNOLOGY | ANDERSON David J. | STEMPLE Derek L.
WO1996027665A2,1995-03-03 | 1996-03-01,"ANDERSON DAVID J. US,US | SCHOENHERR CHRISTOPHER J. US,US","CALIFORNIA INSTITUTE OF TECHNOLOGY US,US"
WO2000009676A2,1998-08-14 | 1999-08-13,"ANDERSON David J.,US | LO Li Ching,US","CALIFORNIA INSTITUTE OF TECHNOLOGY,US"
WO2000052143A3,1999-03-05 | 2000-03-03,"ANDERSON David J.,US | MORRISON Sean,CA","CALIFORNIA INSTITUTE OF TECHNOLOGY,US"
WO1998048001A1,1997-04-24 | 1997-04-25 | 1998-04-23,"ANDERSON David J.,US | SHAH Nirao M.,US","CALIFORNIA INSTITUTE OF TECHNOLOGY,US"
WO2003022052A1,2001-09-13 | 2002-01-09 | 2002-06-18 | 2002-08-27 | 2002-09-13,"BALTIMORE David,US | QIN Xiao Feng,US | LOIS CABALLE Carlos,US","CALIFORNIA INSTITUTE OF TECHNOLOGY,US"
WO2000029550A2,1998-11-18 | 1999-10-22 | 1999-11-18,"CESTE Marie,US | DOYLE John,US | WOLD Barbara J.,US | MCKAY Ron,US | STUDER Lorenz,US","CALIFORNIA INSTITUTE OF TECHNOLOGY,US"
WO2000029549A3,1998-11-18 | 1999-10-22 | 1999-11-18,"CSETE Marie,US | DOYLE John,US | WOLD Barbara J.,US | MORRISON Sean J.,US | ANDERSON David,US","CALIFORNIA INSTITUTE OF TECHNOLOGY,US"
WO2005118609A2,2004-05-26 | 2005-05-26,"HSIEH-WILSON Linda C.,US | TULLY Sarah E.,US | MABON Ross,US | GAMA Cristal I.,US","CALIFORNIA INSTITUTE OF TECHNOLOGY,US"
WO2006110228A2,2005-02-25 | 2005-03-01 | 2005-12-06 | 2006-01-06 | 2006-02-24 | 2006-02-27,"KHERADVAR Arash,US | RAVICHANDRAN Guruswami,US | GHARIB Morteza,US","CALIFORNIA INSTITUTE OF TECHNOLOGY,US"
WO2002019814A2,2000-09-07 | 2001-09-07,"LESTER Henry A.,US | LABARCA Cesar,US | SCHWARZ Johannes,DE | FONCK Carlos,US","CALIFORNIA INSTITUTE OF TECHNOLOGY,US"
WO2005040351A2,2003-10-24 | 2004-04-12 | 2004-10-22,"LU Wange,UA | BALTIMORE David,US","CALIFORNIA INSTITUTE OF TECHNOLOGY,US"
WO1997034483A1,1996-03-18 | 1996-05-10 | 1997-03-12,"MISLICK Kimberly Ann,US","CALIFORNIA INSTITUTE OF TECHNOLOGY,US"
WO2004022738A1,2002-09-09 | 2003-09-09,"SHIZUYA Hiroaki,US","CALIFORNIA INSTITUTE OF TECHNOLOGY,US"
WO2006042112A2,2004-10-05 | 2005-01-06 | 2005-10-05,"SMOLKE Christina D.,US | BAYER Travis S.,US","CALIFORNIA INSTITUTE OF TECHNOLOGY,US"
WO2005102383A1,2004-04-01 | 2004-05-17 | 2005-03-03,"YANG Lili,US | BALTIMORE David,US","CALIFORNIA INSTITUTE OF TECHNOLOGY,US"
WO2003050262A3,2001-12-10 | 2002-07-08 | 2002-12-10,"YANG Lili,US | VAN PARIJS Luk,US | BALTIMORE David,US","CALIFORNIA INSTITUTE OF TECHNOLOGY,US"
WO2000052143A2,1999-03-05 | 2000-03-03,"ANDERSON David J.,US | MORRISON Sean,CA","CALIFORNIA INSTITUTE OF TECHNOLOGY,US | ANDERSON David J.,US | MORRISON Sean,CA"
WO2009079592A3,2007-12-17 | 2008-12-17,"BALTIMORE David,US | BOLDIN Mark,US | TAGANOV Konstantin,US","CALIFORNIA INSTITUTE OF TECHNOLOGY,US | BALTIMORE David,US | BOLDIN Mark,US | TAGANOV Konstantin,US"
WO2009079592A2,2007-12-17 | 2008-12-17,"BALTIMORE David,US | BOLDIN Mark,US | TAGANOV Konstantin,US","CALIFORNIA INSTITUTE OF TECHNOLOGY,US | BALTIMORE David,US | BOLDIN Mark,US | TAGANOV Konstantin,US"
WO2003023015A2,2001-09-13 | 2002-01-09 | 2002-06-18 | 2002-08-27 | 2002-09-13,"BALTIMORE David,US | QIN Xiao-Feng,US | LOIS-CABALLE Carlos,US","CALIFORNIA INSTITUTE OF TECHNOLOGY,US | BALTIMORE David,US | QIN Xiao-Feng,US | LOIS-CABALLE Carlos,US"
WO2000029549A2,1998-11-18 | 1999-10-22 | 1999-11-18,"CESTE Marie,US | DOYLE John,US | WOLD Barbara J.,US | MORRISON Sean J.,US | ANDERSON David,US","CALIFORNIA INSTITUTE OF TECHNOLOGY,US | CESTE Marie,US | DOYLE John,US | WOLD Barbara J.,US | MORRISON Sean J.,US | ANDERSON David,US"
WO2008058291A2,2006-11-09 | 2006-12-19 | 2007-11-09,"GALLOWAY Katie,US | SMOLKE Christina,US | WIN Maung Nyan,US","CALIFORNIA INSTITUTE OF TECHNOLOGY,US | GALLOWAY Katie,US | SMOLKE Christina,US | WIN Maung Nyan,US"
WO2008058291A3,2006-11-09 | 2006-12-19 | 2007-11-09,"GALLOWAY Katie,US | SMOLKE Christina,US | WIN Maung Nyan,US","CALIFORNIA INSTITUTE OF TECHNOLOGY,US | GALLOWAY Katie,US | SMOLKE Christina,US | WIN Maung Nyan,US"
WO2009111577A1,2008-03-04 | 2009-03-04,"LEE Lap Man,US | CUI Xiquan,US | YANG Changhuei,US","CALIFORNIA INSTITUTE OF TECHNOLOGY,US | LEE Lap Man,US | CUI Xiquan,US | YANG Changhuei,US"
WO2005040351A3,2003-10-24 | 2004-04-12 | 2004-10-22,"LU Wange,UA | BALTIMORE David,US","CALIFORNIA INSTITUTE OF TECHNOLOGY,US | LU Wange,UA | BALTIMORE David,US"
WO2010059876A2,2008-11-21 | 2009-11-19,"LUO Xin,US | YANG Lili,US | BALTIMORE David,US","CALIFORNIA INSTITUTE OF TECHNOLOGY,US | LUO Xin,US | YANG Lili,US | BALTIMORE David,US"
WO2010059876A3,2008-11-21 | 2009-11-19,"LUO Xin,US | YANG Lili,US | BALTIMORE David,US","CALIFORNIA INSTITUTE OF TECHNOLOGY,US | LUO Xin,US | YANG Lili,US | BALTIMORE David,US"
WO2010075476A2,2008-12-22 | 2009-12-22,"SAUKA-SPENGLER Tatjana,US | MCKEOWN Sonja J.,US | BETACUR Paola,US | BRONNER-FRASER Marianne,US","CALIFORNIA INSTITUTE OF TECHNOLOGY,US | SAUKA-SPENGLER Tatjana,US | MCKEOWN Sonja J.,US | BETACUR Paola,US | BRONNER-FRASER Marianne,US"
WO2002034930A2,2000-10-23 | 2001-10-23,"SCHWARZ Johannes,DE | CHEN Ching-Kang Jason,US | SIMON Melvin I.,US | LESTER Henry,US","CALIFORNIA INSTITUTE OF TECHNOLOGY,US | SCHWARZ Johannes,DE | CHEN Ching-Kang Jason,US | SIMON Melvin I.,US | LESTER Henry,US"
WO2008109837A2,2007-03-08 | 2008-03-07,"LOIS-CABALLE Carlos,US | BALTIMORE David,US | QIN Xiao-feng,US | CHEN Irvin S.Y.,US | AN Dong Sung,US","CALIFORNIA INSTITUTE OF TECHNOLOGY,US | THE REGENTS OF THE UNIVERSITY OF CALIFORNIA,US | LOIS-CABALLE Carlos,US | BALTIMORE David,US | QIN Xiao-feng,US | CHEN Irvin S.Y.,US | AN Dong Sung,US"
WO2008109837A3,2007-03-08 | 2008-03-07,"LOIS-CABALLE Carlos,US | BALTIMORE David,US | QIN Xiao-feng,US | CHEN Irvin S.Y.,US | AN Dong Sung,US","CALIFORNIA INSTITUTE OF TECHNOLOGY,US | THE REGENTS OF THE UNIVERSITY OF CALIFORNIA,US | LOIS-CABALLE Carlos,US | BALTIMORE David,US | QIN Xiao-feng,US | CHEN Irvin S.Y.,US | AN Dong Sung,US"
WO2006116327A1,2005-04-21 | 2006-04-20 | 2006-04-21,"TAI Yu Chong,US | ZHENG Siyang,US | LIN Henry,US | DATAR Ram,US | COTE Richard,US","CALIFORNIA INSTITUTE OF TECHNOLOGY,US | UNIVERSITY OF SOUTHERN CALIFORNIA,US"
WO2008011636A2,2006-07-21 | 2007-03-27 | 2007-07-23,"WANG Pin,US | YANG Lili,US | BALTIMORE David,US","CALIFORNIA INSTITUTE OF TECHNOLOGY,US | WANG Pin,US | YANG Lili,US | BALTIMORE David,US"
WO2008011636A3,2006-07-21 | 2007-03-27 | 2007-07-23,"WANG Pin,US | YANG Lili,US | BALTIMORE David,US","CALIFORNIA INSTITUTE OF TECHNOLOGY,US | WANG Pin,US | YANG Lili,US | BALTIMORE David,US"
WO2002020740A2,2000-09-08 | 2001-09-10,"DESHAIES Raymond J.,US | CREWS Craig,US | SAKAMOTO Kathleen M.,US","CALIFORNIA INSTITUTE OF TECHNOLOGY,US | YALE UNIVERSITY,US | THE REGENTS OF THE UNIVERSITY OF CALIFORNIA,US | DESHAIES Raymond J.,US | CREWS Craig,US | SAKAMOTO Kathleen M.,US"
WO2003050262A2,2001-12-10 | 2002-07-08 | 2002-12-10,"YANG Lili,US | VAN PARIJS Luk,US | BALTIMORE David,US","CALIFORNIA INSTITUTE OF TECHNOLOGY,US | YANG Lili,US | VAN PARIJS Luk,US | BALTIMORE David,US"
WO2004037977A2,2002-09-05 | 2002-10-17 | 2003-07-03 | 2003-09-05,"BALTIMORE David,US | PORTEUS Matthew,US","CALIFORNIA INSTITUTE OF THECHNOLOGY,US | BALTIMORE David,US | PORTEUS Matthew,US"
WO2008085879A2,2007-01-03 | 2008-01-03,"NISTOR Gabriel,US","CALIFORNIA STEM CELL INC.,US | NISTOR Gabriel,US"
WO2008085879A3,2007-01-03 | 2008-01-03,"NISTOR Gabriel,US","CALIFORNIA STEM CELL INC.,US | NISTOR Gabriel,US"
WO2008112323A1,2007-03-15 | 2008-03-17,"NISTOR Gabriel,US","CALIFORNIA STEM CELL INC.,US | NISTOR Gabriel,US"
WO2009058451A2,2007-08-02 | 2008-08-04,"POOLE Aleksandra Jovanovic,US","CALIFORNIA STEM CELL INC.,US | POOLE Aleksandra Jovanovic,US"
WO2009058451A3,2007-08-02 | 2008-08-04,"POOLE Aleksandra Jovanovic,US","CALIFORNIA STEM CELL INC.,US | POOLE Aleksandra Jovanovic,US"
WO2008118421A1,2007-03-23 | 2008-03-24,"POOLE Aleksandra Jovanovic,US","CALIFORNIA STEM CELL INC.,US | POOLE Aleksandra Jovanovic,US"
WO2010123931A1,2009-04-20 | 2010-04-20,"PURI Kamal D.,US | EVARTS Jerry B.,US | LANNUTTI Brain,US | GIESE Neill A.,US","CALISTOGA PHARMACEUTICALS INC.,US | PURI Kamal D.,US | EVARTS Jerry B.,US | LANNUTTI Brain,US | GIESE Neill A.,US"
WO1999001560A1,1997-07-01 | 1997-07-21 | 1997-08-04 | 1997-09-09 | 1998-07-01,"KILIAN Andrzej,AU | BOWTELL David,AU","CAMBIA BIOSYSTEMS LLC,US"
WO2001062970A1,2000-02-25 | 2001-02-20,"CHADWICK Mark P.,GB | RUSSELL Stephen J.,US","CAMBRIDGE DRUG DISCOVERY LTD.,GB"
WO2001062972A1,2000-02-25 | 2001-02-20,"RUSSELL Stephen J.,US | CHADWICK Mark P.,GB | BUCHHOLZ Christian,DE","CAMBRIDGE DRUG DISCOVERY LTD.,GB"
WO2010097631A1,2009-02-27 | 2010-02-26,"BAHN Sabine,GB | SCHWARZ Emanuel,GB","CAMBRIDGE ENTERPRISE LIMITED,GB | BAHN Sabine,GB | SCHWARZ Emanuel,GB"
WO2010097630A1,2009-02-27 | 2010-02-26,"BAHN Sabine,GB | SCHWARZ Emanuel,GB","CAMBRIDGE ENTERPRISE LIMITED,GB | BAHN Sabine,GB | SCHWARZ Emanuel,GB"
WO2010119295A1,2009-04-16 | 2009-12-21 | 2010-04-16,"BAHN Sabine,GB | SCHWARZ Emanuel,GB | HUEBNER Marlis,GB","CAMBRIDGE ENTERPRISE LIMITED,GB | BAHN Sabine,GB | SCHWARZ Emanuel,GB | HUEBNER Marlis,GB"
WO2008056166A3,2006-11-09 | 2007-11-09,"PEDERSEN Roger,GB | VALLIER Ludovic,GB","CAMBRIDGE ENTERPRISE LIMITED,GB | PEDERSEN Roger,GB | VALLIER Ludovic,GB"
WO2008056166A2,2006-11-09 | 2007-11-09,"PEDERSEN Roger,GB | VALLIER Ludovic,GB","CAMBRIDGE ENTERPRISE LIMITED,GB | PEDERSEN Roger,GB | VALLIER Ludovic,GB"
WO2008056173A8,2006-11-09 | 2007-11-09,"PEDERSEN Roger,GB | VALLIER Ludovic,GB | BRONE Gabrielle,GB","CAMBRIDGE ENTERPRISE LIMITED,GB | PEDERSEN Roger,GB | VALLIER Ludovic,GB | BRONE Gabrielle,GB"
WO2008056173A2,2006-11-09 | 2007-11-09,"PEDERSEN Roger,GB | VALLIER Ludovic,GB | BRONE Gabrielle,GB","CAMBRIDGE ENTERPRISE LIMITED,GB | PEDERSEN Roger,GB | VALLIER Ludovic,GB | BRONE Gabrielle,GB"
WO2008056173A3,2006-11-09 | 2007-11-09,"PEDERSEN Roger,GB | VALLIER Ludovic,GB | BRONE Gabrielle,GB","CAMBRIDGE ENTERPRISE LIMITED,GB | PEDERSEN Roger,GB | VALLIER Ludovic,GB | BRONE Gabrielle,GB"
WO2009101407A2,2008-02-11 | 2008-03-26 | 2008-10-21 | 2009-02-11,"SMITH Austin Gerard,GB | DA SILVA Jose Carlos Rebelo,GB | GUO Ge,GB","CAMBRIDGE ENTERPRISE LIMITED,GB | SMITH Austin Gerard,GB | DA SILVA Jose Carlos Rebelo,GB | GUO Ge,GB"
WO2009101407A3,2008-02-11 | 2008-03-26 | 2008-10-21 | 2009-02-11,"SMITH Austin Gerard,GB | DA SILVA Jose Carlos Rebelo,GB | GUO Ge,GB","CAMBRIDGE ENTERPRISE LIMITED,GB | SMITH Austin Gerard,GB | DA SILVA Jose Carlos Rebelo,GB | GUO Ge,GB"
WO2007148098A2,2006-06-21 | 2007-06-21,"CHANDRAN Siddharthan,GB | JOANNIDES Alexis,GB | ALLEN Nicholas,GB","CAMBRIDGE ENTERPRISE LIMITED,GB | UNIVERSITY COLLEGE CARDIFF CONSULTANTS LIMITED,GB | CHANDRAN Siddharthan,GB | JOANNIDES Alexis,GB | ALLEN Nicholas,GB"
WO2007148098A3,2006-06-21 | 2007-06-21,"CHANDRAN Siddharthan,GB | JOANNIDES Alexis,GB | ALLEN Nicholas,GB","CAMBRIDGE ENTERPRISE LIMITED,GB | UNIVERSITY COLLEGE CARDIFF CONSULTANTS LIMITED,GB | CHANDRAN Siddharthan,GB | JOANNIDES Alexis,GB | ALLEN Nicholas,GB"
WO2009147445A1,2008-06-04 | 2009-06-04,"YEAP Leng-Siew,GB | HAYASHI Katsuhiko,GB | SURANI Azim,GB","CAMBRIDGE ENTERPRISE LIMITED,GB | YEAP Leng-Siew,GB | HAYASHI Katsuhiko,GB | SURANI Azim,GB"
WO2010040998A1,2008-10-06 | 2009-10-06,"TROWSDALE John,GB | BARROW Alexander,GB | FARNDALE Richard,GB","CAMBRIDGE ENTERPRISE LLIMITED,GB | TROWSDALE John,GB | BARROW Alexander,GB | FARNDALE Richard,GB"
WO1994026298A1,1993-05-06 | 1994-03-08 | 1994-05-06,SKLAR Robert | MARCHIONNI Mark | GWYNNE David I.,CAMBRIDGE NEUROSCIENCE | SKLAR Robert | MARCHIONNI Mark | GWYNNE David I.
WO1996030403A1,1995-03-27 | 1996-03-27,REH Thomas A. | MARCHIONNI Mark A. | MCCABE Kathryn L. | BERMINGHAM-MCDONOGH Olivia | MAHANTHAPPA Nagesh K. | GWYNNE David I.,CAMBRIDGE NEUROSCIENCE INC. | REH Thomas A. | MARCHIONNI Mark A. | MCCABE Kathryn L. | BERMINGHAM-MCDONOGH Olivia | MAHANTHAPPA Nagesh K. | GWYNNE David I.
WO2000035511A1,1998-12-17 | 1999-12-16,"LEWANDROWSKI Kai-Uwe,US | TRANTOLO Debra J.,US","CAMBRIDGE SCIENTIFIC INC.,US"
WO2006111757A2,2005-04-20 | 2006-04-20,"BENNETT Martin,GB | CLARKE Murray,GB | LITTLEWOOD Trevor,GB","CAMBRIDGE UNIVERSITY TECHNICAL SERVICES LIMITED,GB"
WO2003052424A3,2001-12-14 | 2002-11-04 | 2002-12-13,"METCALFE Susan Marie,GB","CAMBRIDGE UNIVERSITY TECHNICAL SERVICES LIMITED,GB"
WO2007003941A1,2005-07-06 | 2006-03-13 | 2006-07-05,"RUBINSZTEIN David,GB | SARKAR Sovan,GB | WILLIAMS Andrea,GB | TTOFI Evangelia,GB | O'KANE Cahir,GB | FLOTO Andres,GB","CAMBRIDGE UNIVERSITY TECHNICAL SERVICES LIMITED,GB"
WO2005014836A2,2003-08-08 | 2004-08-09,"LEVER Andrew Michael Lindsay,GB | STRAPPE Padraig Michael,IE","CAMBRIDGE UNIVERSITY TECHNICAL SERVICES LIMITED,GB | GENE DEVELOPMENTS LIMITED,GB | LEVER Andrew Michael Lindsay,GB | STRAPPE Padraig Michael,IE"
WO2003052424A2,2001-12-14 | 2002-11-04 | 2002-12-13,"METCALFE Susan Marie,GB","CAMBRIDGE UNIVERSITY TECHNICAL SERVICES LIMITED,GB | METCALFE Susan Marie,GB"
WO2002057307A2,2001-01-18 | 2002-01-18,"SAITOU Mitinori,GB | SURANI Azim,GB","CAMBRIDGE UNIVERSITY TECHNICAL SERVICES LIMITED,GB | SAITOU Mitinori,GB | SURANI Azim,GB"
WO2004007723A2,2002-07-17 | 2002-07-19 | 2003-07-17,"SAITOU Mitinori,GB | SURANI Azim,GB","CAMBRIDGE UNIVERSITY TECHNICAL SERVICES LIMITED,GB | SAITOU Mitinori,GB | SURANI Azim,GB"
WO2007129091A1,2006-05-05 | 2007-05-08,"SURANI Azim,GB | LANGE Ulrike,GB | HAJKOVA Petra,GB | ANCELIN Katia,FR","CAMBRIDGE UNIVERSITY TECHNICAL SERVICES LIMITED,GB | SURANI Azim,GB | LANGE Ulrike,GB | HAJKOVA Petra,GB | ANCELIN Katia,FR"
WO2006051405A2,2004-11-12 | 2005-11-12,"KONDO Toru,GB","CAMBRIDGE UNIVERSITY TECHNICAL SERVICES LTD.,GB"
WO2006051405A3,2004-11-12 | 2005-11-12,"KONDO Toru,GB","CAMBRIDGE UNIVERSITY TECHNICAL SERVICES LTD.,GB"
WO1995014078A1,1993-11-16 | 1994-11-04,CAMERON Robert B.,CAMERON Robert B.
WO2004112806A1,2003-06-26 | 2004-06-25,"NGUYEN-QUOC Binh,CA","CANADA CHANGMIN NUTRACEUTIQUE CO. LTD,CA"
WO2006079205A1,2005-01-28 | 2006-01-26,"ACKER Jason P.,CA | GYONGYOSSY ISSA Maria,CA","CANADIAN BLOOD SERVICES,CA"
WO1994024285A1,1993-04-19 | 1994-04-19,GRAHAM Gerard | PRAGNELL Ian,CANCER RESEARCH CAMPAIGN TECHNOLOGY LIMITED | GRAHAM Gerard | PRAGNELL Ian
WO1994013800A3,1992-12-11 | 1993-12-10,HEATH John Kaye,CANCER RESEARCH CAMPAIGN TECHNOLOGY LIMITED | HEATH John Kaye
WO1994013800A2,1992-12-11 | 1993-12-10,"HEATH JOHN KAYE GB,GB","CANCER RESEARCH CAMPAIGN TECHNOLOGY LIMITED GB,GB"
WO2001036646A1,1999-11-19 | 2000-11-17,"ZERNICKA-GOETZ Magdelena,GB | WIANNY Florence,GB | EVANS Martin John,GB | GLOVER David Moore,GB","CANCER RESEARCH CAMPAIGN TECHNOLOGY LIMITED,GB"
WO2002059607A3,2001-01-04 | 2002-01-04,"QUINN Anthony Gerard,GB | TIDMAN Nicholas,GB","CANCER RESEARCH TECHNOLOGY LIMITED,GB"
WO2009106882A1,2008-02-27 | 2008-10-02 | 2009-02-24,"WOLF Charles Roland,GB | HENDERSON Colin,GB","CANCER RESEARCH TECHNOLOGY LIMITED,GB | WOLF Charles Roland,GB | HENDERSON Colin,GB"
WO2007049043A2,2005-10-28 | 2006-10-26,"TAKEI Yoshinori,GB","CANCER RESEARCH TECHNOLOGY LIMTED,GB"
WO2007049043A3,2005-10-28 | 2006-10-26,"TAKEI Yoshinori,GB","CANCER RESEARCH TECHNOLOGY LIMTED,GB | TAKEI Yoshinori,GB"
WO2008152411A1,2007-06-15 | 2007-06-18 | 2008-06-13,"MYHR Gunnar,NO","CANCERCURE TECHNOLOGY AS,NO | PIESOLD Alexander James,GB | MYHR Gunnar,NO"
WO1992007083A1,1990-10-18 | 1991-10-18,DANO Keld | RONNE Ebbe | BEHRENDT Niels | ELLIS Vincent | HOYER-HANSEN Gunilla | PYKE Charles | BR�NNER Nils,CANCERFORSKNINGSFONDET AF 1989 | DANO Keld | RONNE Ebbe | BEHRENDT Niels | ELLIS Vincent | HOYER-HANSEN Gunilla | PYKE Charles | BR�NNER Nils
WO2008105872A1,2007-02-28,"KISS Zoltan,US","CANCURE LABORATORIES LLC,US | KISS Zoltan,US"
WO1994024853A1,1993-05-03 | 1994-05-03,KEATING Armand | WU Dhong-dhong,CANGENE CORPORATION | KEATING Armand | WU Dhong-dhong
WO2000022136A2,1998-10-15 | 1999-10-14,"HOWE John A.,US","CANJI INC.,US"
WO2000022137A2,1998-10-15 | 1999-10-14,"RAMACHANDRA Muralidhara,US | SHABRAM Paul W.,US","CANJI INC.,US"
WO1999025195A1,1997-11-18 | 1998-11-16,"TALMADGE James E.,US","CANJI INC.,US"
WO2000029599A1,1998-11-18 | 1999-11-17,"WILLS Kenneth N.,US","CANJI INC.,US"
WO1992022584A1,1991-06-18 | 1992-06-16,CAPLAN Arnold I. | HAYNESWORTH Stephen E.,CAPLAN Arnold I. | HAYNESWORTH Stephen E.
WO2010118059A1,2009-04-06 | 2010-04-06,"SMITH Rachel,US | MARB�N Linda,US","CAPRICOR INC.,US | SMITH Rachel,US | MARB�N Linda,US"
WO2006136953A2,2005-06-15 | 2006-06-15,STOPPINI Luc,CAPSANT NEUROTECHNOLOGIES S.A.
WO2010020876A2,2008-08-22 | 2009-08-21,"STOPPINI Luc,CH","CAPSANT NEUROTECHNOLOGIES S.A.,CH | STOPPINI Luc,CH"
WO2010020876A3,2008-08-22 | 2009-08-21,"STOPPINI Luc,CH","CAPSANT NEUROTECHNOLOGIES S.A.,CH | STOPPINI Luc,CH"
WO2006048321A1,2004-11-06 | 2005-11-07,"VOIGT Andreas,DE | B�UMLER Hans,DE","CAPSULUTION NANOSCIENCE AG,DE | CHARIT� UNIVERSIT�TSMEDIZIN BERLIN,DE"
WO2005061695A1,2003-12-23,"CREGAN Mark Derek,AU | HARTMANN Peter Edwin,AU","CARAG AG,CH"
WO2005061696A1,2003-12-23 | 2004-12-15,"CREGAN Mark Derek,AU | HARTMANN Peter Edwin,AU","CARAG AG,CH"
WO2006017169A3,2004-07-09 | 2005-07-08,"CHAVAN Abhi,US | ROSS Jeffrey,US | MORRISSEY Cynthia,US | MAZAR Scott T.,US | PALME Donald,US","CARDIAC PACEMAKERS INC.,US"
WO2007021413A2,2005-08-12 | 2005-11-10 | 2006-07-13,"WAGNER Darrell O.,US | SIH Haris J.,US | QU Jihong,US | ROSS Jeffrey,US | GIROUARD Steven,US | HEIL Ronald W. Jr.,US","CARDIAC PACEMAKERS INC.,US"
WO2008027261A1,2006-08-31 | 2007-08-22,"BAYNHAM Tamara Colette,US | GIROUARD Steven D.,US","CARDIAC PACEMAKERS INC.,US | BAYNHAM Tamara Colette,US | GIROUARD Steven D.,US"
WO2006017169A2,2004-07-09 | 2005-07-08,"CHAVAN Abhi,US | ROSS Jeffrey,US | MORRISSEY Cynthia,US | MAZAR Scott T.,US | PALME Donald,US","CARDIAC PACEMAKERS INC.,US | CHAVAN Abhi,US | ROSS Jeffrey,US | MORRISSEY Cynthia,US | MAZAR Scott T.,US | PALME Donald,US"
WO2009075761A3,2007-12-12 | 2008-12-04,"FOLEY John,US | SPINELLI Julio C.,AR","CARDIAC PACEMAKERS INC.,US | FOLEY John,US | SPINELLI Julio C.,AR"
WO2009075761A2,2007-12-12 | 2008-12-04,"FOLEY John,US | SPINELLI Julio C.,AR","CARDIAC PACEMAKERS INC.,US | FOLEY John,US | SPINELLI Julio C.,AR"
WO2008140863A2,2007-05-08 | 2008-03-25,"KENKNIGHT Bruce,US | GIROUARD Steven D.,US","CARDIAC PACEMAKERS INC.,US | KENKNIGHT Bruce,US | GIROUARD Steven D.,US"
