id,Publication Number,Title,PriorityNumber,Priority Date,INPADOC Family ID,Inventor - w/address,INPADOC Family Members,Citing Patents,Cited Refs - Patent,Assignee - Original w/address,Priority Country,url,text
1004,WO1998038940A1,METHOD AND APPARATUS FOR ALTERING THE OSMOTIC PRESSURE OF CRYOPRESERVED WHITE STEM CELLS ,US1997813364A | WO1998US3936A,1997,19980911CA2253872A1,"COELHO Philip H.,US | RUBINSTEIN Pablo,US | STEVENS Cladd E.,US",AU199865388A_ | CA2253872A1 | EP967928A1 | EP967928A4 | JP2001518079A_ | WO1998038940A1,DE10117205A1 | JP03614016B2,US4306556A | US4900322A | US5700632A,"THERMOGENESIS CORP.,US | NEW YORK BLOOD CENTER INC.,US",US,http://www.google.com/patents?q=METHOD+AND+APPARATUS+FOR+ALTERING+THE+OSMOTIC+PRESSURE+OF+CRYOPRESERVED+WHITE+STEM+CELLS+&btnG=Search+Patents,0
1021,WO2001059076A3,PREMEIOTIC AND POSTMEIOTIC ORIGIN OF TERATOMAS: ISOLATED TERATOMA STEM CELLS FOR THERAPEUTIC USES ,US2000181309P | WO2001US4456A,2000,20010816WO2001059076A2,"ZHUANG Zhengping,US | LUBENSKY Irina A.,US | VORTMEYER Alexander,US | OLDFIELD Edward,US",AU200136919A_ | WO2001059076A2 | WO2001059076A3,,DE19653685A1 | WO1995012665A1 | WO1997007668A1 | WO1998057538A1 | WO2001018193A1,"THE GOVERNMENT OF THE UNITED STATES OF AMERICA as represented by THE SECRETARY DEPARTMENT OF HEALTH AND HUMAN SERVICES,US",US,http://www.google.com/patents?q=PREMEIOTIC+AND+POSTMEIOTIC+ORIGIN+OF+TERATOMAS:+ISOLATED+TERATOMA+STEM+CELLS+FOR+THERAPEUTIC+USES+&btnG=Search+Patents,0
1050,WO1999063050A2,METHOD FOR PREPARATION AND ,US199887764P | WO1999US12142A,1998,19991209CA2330027A1,"VAN VLASSELAER Peter,US",AU199942269A_ | CA2330027A1 | EP1082411A2 | JP2002517409A_ | NZ508936A_ | WO1999063050A2 | WO1999063050A3,US6440735B1 | US7030228B1 | US7824849B2 | US7402307B2,US5474687A | WO1995028479A1 | WO1995034638A1 | WO1997003186A2,"DENDREON CORPORATION,US",US,http://www.google.com/patents?q=METHOD+FOR+PREPARATION+AND+&btnG=Search+Patents,0
1054,WO2010101257A1,AGENT DESTINÉ À EMPÊCHER UNE RÉCURRENCE DE LEUCÉMIE ,JP200952723A | WO2010JP53685A,2009,20100910WO2010101257A1,"ISHIKAWA Fumihiko,JP | SAITO Yoriko,JP | SHULTZ Leonard D.,US",WO2010101257A1,,,"RIKEN,JP | ISHIKAWA Fumihiko,JP | SAITO Yoriko,JP | SHULTZ Leonard D.,US",JP,http://www.google.com/patents?q=AGENT+DESTINÉ+À+EMPÊCHER+UNE+RÉCURRENCE+DE+LEUCÉMIE+&btnG=Search+Patents,0
1066,WO2000071130A1,HEXACYCLIC G-CSF MIMETICS ,US1999136045P | WO2000US14856A,1999,20001130WO2000071130A1,"DUFFY Kevin J.,US | LUENGO Juan I.,US",AU200051735A_ | WO2000071130A1,,WO1999061445A1 | WO1999061446A1,"SMITHKLINE BEECHAM CORPORATION,US",US,http://www.google.com/patents?q=HEXACYCLIC+G-CSF+MIMETICS+&btnG=Search+Patents,0
1070,WO2002100416A1,"SOCS-5 MOLECULES, SCREENING THEREFORE AND THERAPEUTIC USES THEREOF ",AU20015566A | WO2002AU741A,2001,20010712AU2001PR5566D0,"NICHOLSON Sandra Elaine,AU | WALKER Francesca,AU | SILVA Anabel,AU | ZHANG Jian-Guo,AU | NICOLA Nicos A,AU | METCALF Donald,AU | COLUMBUS Ruth Elisabeth,AU",AU2001PR5566D0 | WO2002100416A1,,WO1998020023A1 | WO1999061614A2 | WO2000037636A1 | WO2001035732A1,"THE WALTER AND ELIZA HALL INSTITUTE OF MEDICAL RESEARCH,AU",AU,"http://www.google.com/patents?q=SOCS-5+MOLECULES,+SCREENING+THEREFORE+AND+THERAPEUTIC+USES+THEREOF+&btnG=Search+Patents",0
1086,WO2003025224A2,,,,,,,,,http://www.google.com/patents?q=&btnG=Search+Patents,"/patents/css/_5454e75c53d53ec46715621c069e50e4/patents_homepage_bundle.css"" type=""text/css",,0
1104,WO2010046835A1,"CRYSTALLINE FORMS OF (R) -5- [3-CHLORO-4- ( 2, 3-DIHYDROXY-PROPOXY) -BENZ [Z] YLIDENE] -2- ( [Z] -PROPYLIMINO) -3-0-TOLYL-THIAZOLIDIN-4-ONE ",GB200819182A | WO2009IB54592A,2008,20081126GB200819182D0,"BONHAM Nicholas,GB | BUCHMANN Stephan,CH | EBERLIN Alex,GB | IMBODEN Christoph,CH | VON RAUMER Markus,CH",AR73904A1 | GB200819182D0 | WO2010046835A1,,WO2005054215A1,"ACTELION PHARMACEUTICALS LTD,CH | BONHAM Nicholas,GB | BUCHMANN Stephan,CH | EBERLIN Alex,GB | IMBODEN Christoph,CH | VON RAUMER Markus,CH",GB | IB,"http://www.google.com/patents?q=CRYSTALLINE+FORMS+OF+(R)+-5-+[3-CHLORO-4-+(+2,+3-DIHYDROXY-PROPOXY)+-BENZ+[Z]+YLIDENE]+-2-+(+[Z]+-PROPYLIMINO)+-3-0-TOLYL-THIAZOLIDIN-4-ONE+&btnG=Search+Patents",0
1122,WO2006102417A2,MECHANISMS OF OSTEOINDUCTION BY LIM MINERALIZATION PROTEIN-1 (LMP-1) ,US2005664073P | US2005664074P | WO2006US10419A,2005,19990201ZA199806763A_,"MARX Jeffrey C.,US | MCKAY William F.,US | BODEN Scott D.,US",AT363918T_ | AT417577T_ | AT417927T_ | AU199886029A_ | AU200046831A_ | AU2002225862B2 | AU200225862A_ | AU2004271093A1 | AU2005203606A1 | AU2005203606B2 | AU2006226993A1 | AU2006249302A1 | AU2010212481A1 | AU745122B2 | AU765516B2 | CA2297489A1 | CA2372192A1 | CA2426406A1 | CA2466769A1 | CA2517496A1 | CA2518295A1 | CA2602479A1 | CA2609849A1 | CN100396784C_ | CN100441688C_ | CN101227928A_ | CN1315537C_ | CN1332032C_ | CN1355714A_ | CN1665391A_ | CN1777680A_ | CN1908170A_ | CN1934123A_ | DE60035107,WO2008064094A2,US20040034428A1 | WO2002009644A2 | WO2002034113A2 | WO2005111058A1,"SDGI HOLDINGS INC.,US",US,http://www.google.com/patents?q=MECHANISMS+OF+OSTEOINDUCTION+BY+LIM+MINERALIZATION+PROTEIN-1+(LMP-1)+&btnG=Search+Patents,0
1132,WO2004078961A1,FLOATATION SUPPORT AND METHOD OF FLOATATION/RECOVERY ,JP200361810A | WO2004JP2867A,2003,20040916WO2004078961A1,"MORI Yuichi,JP | MIURA Shigeki,JP | HISHIKAWA Keiichi,JP | YOSHIOKA Hiroshi,JP",WO2004078961A1,,EP387975A1 | JP2004043749A | JP40066082A | JP4066082A | WO2001070022A1,"MEBIOL INC.,JP | MORI Yuichi,JP",JP,http://www.google.com/patents?q=FLOATATION+SUPPORT+AND+METHOD+OF+FLOATATION/RECOVERY+&btnG=Search+Patents,0
1156,WO2010099472A3,SPANX-B POLYPEPTIDES AND THEIR USE ,US2009156435P | WO2010US25633A,2009,20100902WO2010099472A2,"BIRAGYN Arya,US | LARIONOV Vladimir L.,US",WO2010099472A2 | WO2010099472A3,,US20060115817A1,"THE U.S.A. OF AMERICA AS REPRESENTED BY THE SECRETARY DEPARTMENT OF HEALTH AND HUMAN SERVICES,US | BIRAGYN Arya,US | LARIONOV Vladimir L.,US",US,http://www.google.com/patents?q=SPANX-B+POLYPEPTIDES+AND+THEIR+USE+&btnG=Search+Patents,0
1162,WO2001056375A1,TOB GENE-DEFECTIVE KNOCKOUT NONHUMAN MAMMAL ,JP200024878A | WO2000JP5816A,2000,20010807JP2001211782A_,"YAMAMOTO Tadashi,JP | YOSHIDA Yutaka,JP | NODA Tetsuo,JP",JP2001211782A_ | WO2001056375A1,,,"YAMAMOTO Tadashi,JP",JP,http://www.google.com/patents?q=TOB+GENE-DEFECTIVE+KNOCKOUT+NONHUMAN+MAMMAL+&btnG=Search+Patents,0
1185,WO2000035464A1,METHOD FOR TREATING PATIENTS USING CELLULAR SUSPENSIONS OF EMBRYONIC TISSUES ,WO1998UA20A,1998,20000622WO2000035464A1,"SMIKODUB Alexandr Ivanovich,UA",AU199929698A_ | UA64826C2 | WO2000035464A1,WO2003063883A1,FR2599972A1 | RU1995102184A1 | RU1995102200A1 | RU2112525A1 | RU2112525A | RU2112526C1 | RU2126260C1 | RU95102184A | RU95102200A | SU1711896A1 | WO1996030031A1,TSENTR EMBRIONALNYKH TKANEI ,,EMCELL,0
1187,WO2010122378A1,METHOD FOR CHONDROGENIC DIFFERENTIATION OF PLURIPOTENT OR MULTIPOTENT STEM CELLS USING WNT6 ,WO2009IB52800A,2009,20101028WO2010122378A1,"NOEL Danièle,FR | BONY-GARAYT Claire,FR | JORGENSEN Christian,FR",WO2010122378A1,,EP979870A1,"INSERM (Institut National de la Santé et de la Recherche Médicale),FR | NOEL Danièle,FR | BONY-GARAYT Claire,FR | JORGENSEN Christian,FR",IB,http://www.google.com/patents?q=METHOD+FOR+CHONDROGENIC+DIFFERENTIATION+OF+PLURIPOTENT+OR+MULTIPOTENT+STEM+CELLS+USING+WNT6+&btnG=Search+Patents,0
1189,WO1996040212A1,RETROVIRUS VECTORS FOR EXPRESSION OF CII-TA AND ACTIVATION OF HLA CLASS II GENE EXPRESSION AND USES THEREOF ,US1995478457A | WO1996US8044A,1995,19961219WO1996040212A1,LEE Janet S.,AU199659546A_ | WO1996040212A1,,US5399346A,SLOAN-KETTERING INSTITUTE FOR CANCER RESEARCH | LEE Janet S.,US,http://www.google.com/patents?q=RETROVIRUS+VECTORS+FOR+EXPRESSION+OF+CII-TA+AND+ACTIVATION+OF+HLA+CLASS+II+GENE+EXPRESSION+AND+USES+THEREOF+&btnG=Search+Patents,0
1203,WO2009020641A1,"HYBRID SCFA-HYDROXYL-DERIVATIZED MONOSACCHARIDES, METHODS OF SYNTHESIS, AND METHODS OF TREATING DISORDERS ",US2007963966P | WO2008US9490A,2007,20090212WO2009020641A1,"YAREMA Kevin J.,US | AICH Udayanath,US | MELEDEO Michael Adam,US | WEIER Christopher,US | CHOI Sean S.,US | CAMPBELL Christopher Thomas,US | SAMPATHKUMAR Srinivasa-gopalan,IN",WO2009020641A1,,WO2006127977A1,"THE JOHNS HOPKINS UNIVERSITY,US | YAREMA Kevin J.,US | AICH Udayanath,US | MELEDEO Michael Adam,US | WEIER Christopher,US | CHOI Sean S.,US | CAMPBELL Christopher Thomas,US | SAMPATHKUMAR Srinivasa-gopalan,IN",US,"http://www.google.com/patents?q=HYBRID+SCFA-HYDROXYL-DERIVATIZED+MONOSACCHARIDES,+METHODS+OF+SYNTHESIS,+AND+METHODS+OF+TREATING+DISORDERS+&btnG=Search+Patents",0
1209,WO1997040155A1,"PROTEIN MEDIATING NEURONAL-GLIAL INTERACTION, DNA ENCODING THE SAME, AND METHODS OF USE THEREOF ",US1996635061A | WO1997US6415A,1996,19971030WO1997040155A1,"HEINTZ Nathaniel,US | HATTEN Mary E.,US",WO1997040155A1,WO2001038576A2 | WO2001038576A3,,"THE ROCKEFELLER UNIVERSITY,US",US,"http://www.google.com/patents?q=PROTEIN+MEDIATING+NEURONAL-GLIAL+INTERACTION,+DNA+ENCODING+THE+SAME,+AND+METHODS+OF+USE+THEREOF+&btnG=Search+Patents",0
1213,WO2008084762A1,NEUROGENESIS-PROMOTING COMPOSITION COMPRISING THEANINE ,JP20073314A | JP20073315A | WO2008JP14A,2007,20080717WO2008084762A1,"KAKUDA Takami,JP | NOZAWA Ayumu,JP | ABE Akihiro,JP | YONEDA Yukio,JP",JP2008169143A_ | JP2008169144A_ | WO2008084762A1,,JP2003063958A | JP2005206462A | JP2007031309A | US6271259B1,"ITO EN LTD.,JP | KAKUDA Takami,JP | NOZAWA Ayumu,JP | ABE Akihiro,JP | YONEDA Yukio,JP",JP,http://www.google.com/patents?q=NEUROGENESIS-PROMOTING+COMPOSITION+COMPRISING+THEANINE+&btnG=Search+Patents,0
1224,WO2007118658A1,METHOD OF ISOLATING POSTNATAL AND/OR ADULT EPITHELIAL STEM AND PRECURSOR CELLS OF THE INTESTINE WITH THE AID OF A MONOCLONAL ANTIBODY ,DE102006017015A | WO2007EP3224A,2006,20071018DE102006017015A1,"BRUNNER Herwig,DE | BAREISS Petra,DE",DE102006017015A1 | WO2007118658A1,,EP1400807A2 | WO2003023018A2,"PETER UND TRAUDL ENGELHORN-STIFTUNG ZUR FÖRDERUNG DER BIOTECHNOLOGIE UND GENTECHNIK,DE | BRUNNER Herwig,DE | BAREISS Petra,DE",DE | EP,http://www.google.com/patents?q=METHOD+OF+ISOLATING+POSTNATAL+AND/OR+ADULT+EPITHELIAL+STEM+AND+PRECURSOR+CELLS+OF+THE+INTESTINE+WITH+THE+AID+OF+A+MONOCLONAL+ANTIBODY+&btnG=Search+Patents,0
1234,WO2003029445A1,PROCESS FOR THE PRODUCTION OF CELLS EXHIBITING AN ISLET-BETA-CELL-LIKE STATE ,EP2001123139A | WO2002EP10824A,2001,20030402EP1298201A1,"SORIA ESCOMS Bernat,ES | QUINTO Trinidad León,ES | JONES Jonathan,ES | SKOUDY HAYM Anouchka,ES | ARRIBAS Francisco Real,ES",EP1298201A1 | WO2003029445A1,US7033831B2 | US7510873B2 | US7326572B2 | US7413734B2 | US7524489B2 | US7618622B2 | WO2007009356A1 | WO2006046923A1 | WO2006001471A1 | US7875273B2 | US7875272B2 | US7700089B2 | US7638328B2 | US7560276B2,,"CARDION AG,DE",EP,http://www.google.com/patents?q=PROCESS+FOR+THE+PRODUCTION+OF+CELLS+EXHIBITING+AN+ISLET-BETA-CELL-LIKE+STATE+&btnG=Search+Patents,0
1235,WO2008048570A3,PIWIL2-RELATED BIOMARKERS AND CELL LINES USEFUL THEREWITH ,US2006851979P | WO2007US22025A,2006,20080424WO2008048570A2,"GAO Jian-xin,US | SHEN Rulong,US | CHEN Li,US | BARSKY Sanford H.,US | YE Yin,US",WO2008048570A2 | WO2008048570A3 | WO2008048570A9,,,"THE OHIO STATE UNIVERSITY RESEARCH FOUNDATION,US | GAO Jian-xin,US | SHEN Rulong,US | CHEN Li,US | BARSKY Sanford H.,US | YE Yin,US",US,http://www.google.com/patents?q=PIWIL2-RELATED+BIOMARKERS+AND+CELL+LINES+USEFUL+THEREWITH+&btnG=Search+Patents,0
1262,WO2009066922A3,METHOD OF DIFFERENTIATING ISLET-NEIGHBORING CELLS INTO INSULIN- SECRETING CELLS ,KR2007117979A | WO2008KR6796A,2007,20090522KR2009051695A_,"BAE Yong-Suk,KR",KR2009051695A_ | WO2009066922A2 | WO2009066922A3,,US20050054102A1 | US20060122104A1,"BAE Yong-Suk,KR",KR,http://www.google.com/patents?q=METHOD+OF+DIFFERENTIATING+ISLET-NEIGHBORING+CELLS+INTO+INSULIN-+SECRETING+CELLS+&btnG=Search+Patents,0
1275,WO2010070183A1,PHARMACEUTICAL COMPOSITION COMPRISING OLEUROPEIN FOR UTILISATION IN ANGIOGENESIS AND VASCULOGENESIS INDUCTION ,ES20099A | WO2009ES70598A,2008,20100624WO2010070183A1,"QUESADA GÓMEZ José Manuel,ES | SANTIAGO MORA Raquel María,ES | CASADO DÍAZ Antonio,ES",WO2010070183A1,WO2010130869A1,KR2007065955A,"SANIDAD Y RESIDENCIAS 21 S.A.U.,ES | QUESADA GÓMEZ José Manuel,ES | SANTIAGO MORA Raquel María,ES | CASADO DÍAZ Antonio,ES",ES,http://www.google.com/patents?q=PHARMACEUTICAL+COMPOSITION+COMPRISING+OLEUROPEIN+FOR+UTILISATION+IN+ANGIOGENESIS+AND+VASCULOGENESIS+INDUCTION+&btnG=Search+Patents,0
1278,WO2007135563A3,USE OF GLIS3 FOR PREPARING FUNCTIONAL PANCREATIC BETA-CELLS ,US2006791895P | WO2007IB2165A,2006,20071129WO2007135563A2,"JULIER Cécile,FR | TAHA Doris,SA | NICOLINO Marc,FR | CAVENER Douglas,US",EP2007906A2 | JP2009533047A_ | WO2007135563A2 | WO2007135563A3,,WO2006124892A2 | WO2007128884A1,"CONSORTIUM NATIONAL DE RECHERCHE EN GENOMIQUE (CNRG),FR | JULIER Cécile,FR | TAHA Doris,SA | NICOLINO Marc,FR | CAVENER Douglas,US",US | IB,http://www.google.com/patents?q=USE+OF+GLIS3+FOR+PREPARING+FUNCTIONAL+PANCREATIC+BETA-CELLS+&btnG=Search+Patents,0
1291,WO2010016253A1,"METHOD FOR SELECTING SECONDARY NEUROSPHERE DERIVED FROM DIFFERENTIATED CELL-DERIVED PLURIPOTENT STEM CELL, CLONE SELECTED BY THE METHOD AND USE OF THE CLONE ",US200886369P | WO2009JP3755A,2008,20100211WO2010016253A1,"OKANO Hideyuki,JP | TSUJI Osahiko,JP | NAKAMURA Masaya,JP | YAMANAKA Shinya,JP | MIURA Kyoko,JP",WO2010016253A1,,,"KEIO UNIVERSITY,JP | KYOTO UNIVERSITY,JP | OKANO Hideyuki,JP | TSUJI Osahiko,JP | NAKAMURA Masaya,JP | YAMANAKA Shinya,JP | MIURA Kyoko,JP",US | JP,"http://www.google.com/patents?q=METHOD+FOR+SELECTING+SECONDARY+NEUROSPHERE+DERIVED+FROM+DIFFERENTIATED+CELL-DERIVED+PLURIPOTENT+STEM+CELL,+CLONE+SELECTED+BY+THE+METHOD+AND+USE+OF+THE+CLONE+&btnG=Search+Patents",0
1318,WO2003102151A3,MODULATING CELL DIFFERENTIATION AND TREATING MYELOPROLIFERTIVE DISORDERS WITH JNK/MKK INHIBITORS ,US2002384250P | US2002434833P | WO2003US17319A,2002,20031211CA2488013A1,"HARIRI Robert J.,US | STIRLING David I.,US | ZELDIS Jerome B.,US",AU2003231950A1 | CA2488013A1 | CN1668733A_ | EP1525308A2 | EP1525308A4 | JP2005528105A_ | MX2004PA011851A_ | US20040028660A1 | WO2003102151A2 | WO2003102151A3,,US20030073732A1 | US2003073732B1 | US20040067953A1 | US2004067953B1 | US6262040B1 | WO2001012609A1 | WO2001012621A1 | WO2002046171A2,"CELGENE CORPORATION,US",US,http://www.google.com/patents?q=MODULATING+CELL+DIFFERENTIATION+AND+TREATING+MYELOPROLIFERTIVE+DISORDERS+WITH+JNK/MKK+INHIBITORS+&btnG=Search+Patents,0
1319,WO2005108562A2,SYNTHETIC FLUOROURIDINE-ACTIVATING ENZYME FOR CANCER THERAPY ,US2004569567P | WO2005IT271A,2004,20051117WO2005108562A2,"DEGANO Massimo,IT | GIABBAI Barbara,IT",EP1747270A2 | WO2005108562A2 | WO2005108562A3,WO2008038149A2,,"FONDAZIONE CENTRO SAN RAFFAELE DEL MONTE TABOR,IT | DEGANO Massimo,IT | GIABBAI Barbara,IT",US | IT,http://www.google.com/patents?q=SYNTHETIC+FLUOROURIDINE-ACTIVATING+ENZYME+FOR+CANCER+THERAPY+&btnG=Search+Patents,0
1340,WO2006095711A1,METHOD OF REGENERATING OR REPAIRING DAMAGED TISSUE BY USING ADRENOMEDULIN ,JP200562951A | WO2006JP304321A,2005,20060914WO2006095711A1,"NAGAYA Noritoshi,JP | MIYATAKE Kunio,JP | KANGAWA Kenji,JP | MURAKAMI Shinsuke,JP",EP1878436A1 | EP1878436A4 | US20090105171A1 | WO2006095711A1,,JP2001524454T | JP2005206491A | JP7196693A,"JAPAN AS REPRESENTED BY GENERAL DIRECTOR OF AGENCY OF NATIONAL CARDIOVASCULAR CENTER,JP | HUBIT GENOMIX INC.,JP",JP,http://www.google.com/patents?q=METHOD+OF+REGENERATING+OR+REPAIRING+DAMAGED+TISSUE+BY+USING+ADRENOMEDULIN+&btnG=Search+Patents,0
1345,WO2002101047A1,"METHOD OF IDENTIFYING COMPOUNDS THAT MODULATE EPO PRIMARY RESPONSE GENE 1, EPRG1, ACTIVITIES ",US2001297470P | US2001314531P | WO2002US18497A,2001,20021219WO2002101047A1,"LORD Kenneth A.,US | TURCONI Sandra,BE",WO2002101047A1,,EP877030A2 | WO1998017810A2 | WO1999023220A1,"SMITHKLINE BEECHAM CORPORATION,US | SMITHKLINE BEECHAM PLC,GB",US,"http://www.google.com/patents?q=METHOD+OF+IDENTIFYING+COMPOUNDS+THAT+MODULATE+EPO+PRIMARY+RESPONSE+GENE+1,+EPRG1,+ACTIVITIES+&btnG=Search+Patents",0
1354,WO2001057265A1,METHODS AND MATERIALS RELATING TO METALLOCARBOXYPEPTIDASE-LIKE POLYPEPTIDES AND POLYNUCLEOTIDES ,US2000496914A | US2000560875A | US2000676135A | WO2001US3783A,2000,20010726CA2395443A1,"BOYLE Bryan J.,US | MIZE Nancy K.,US | ARTERBURN Matthew C.,US | YEUNG George,US | TANG Y. Tom,US | LIU Chenghua,US | DRMANAC Radoje T.,US | WANG Menq-Yun,US | CHEN Lichuan,US | YANG Yea-Huey,US",AT355305T_ | AU200122924A_ | AU2001233003B2 | AU2001234865B2 | AU2001234944A8 | AU2001255214B2 | AU200125918A_ | AU200125936A_ | AU200125955A_ | AU200125965A_ | AU200125983A_ | AU2001263005A8 | AU200127284A_ | AU200127344A_ | AU200127348A_ | AU200127385A_ | AU200131177A_ | AU200131178A_ | AU200131288A_ | AU200132657A_ | AU200132967A_ | AU200132969A_ | AU200132971A_ | AU200132989A_ | AU200133003A_ | AU200133017A_ | AU200133041A_ | AU200133047A_ | AU200133293A_ | AU200134582A_ | AU200134847A_ | AU,WO2002033088A2 | WO2002033088A3,,"HYSEQ INC.,US",US,http://www.google.com/patents?q=METHODS+AND+MATERIALS+RELATING+TO+METALLOCARBOXYPEPTIDASE-LIKE+POLYPEPTIDES+AND+POLYNUCLEOTIDES+&btnG=Search+Patents,0
1362,WO2006062871A8,,,,,,,,,http://www.google.com/patents?q=&btnG=Search+Patents,"/patents/css/_5454e75c53d53ec46715621c069e50e4/patents_homepage_bundle.css"" type=""text/css",,0
1379,WO2006009492A1,"RECOMBINANT ALPHA-FETOPROTEIN, METHOD AND MEANS FOR PREPARATION THEREOF, COMPOSITIONS ON THE BASE THEREOF AND USE THEREOF ",EA2004907A | WO2005RU369A,2004,20060126WO2006009492A1,"BENEVOLENSKY Sergei Vladimirovich,RU | MARCHENKO Alexei Nikolaevich,RU | KOZLOV Dmitry Georgievich,RU | ZATSEPIN Sergei Sergeevich,RU | SHINGAROVA Lyudmila Nikolaevna,RU | DUDICH Igor Vyacheslavovich,RU | SEMENKOVA Lidiya Nikolaevna,RU | DUDICH Dmitry Igorevich,RU | TATULOV Eduard Borisovich,RU | DUDICH Elena Ivanovna,RU",CN1993469A_ | EA11606B1 | EP1807518A1 | EP1807518A4 | JP2008506384A_ | US20090233849A1 | WO2006009492A1 | WO2006009492A8,,EP319417A1 | FR1163012A | FR2333578A1 | GB1007304A | GB2121318A | GB718847A | JP2001269603A | US2559592A | US4223841A,OTKRYTOE AKTSIONERNOE OBSCHESTVO ,,BIO SYSTEMA,0
1381,WO2008088456A2,"METHODS, COMPOSITIONS AND DEVICES FOR TREATING LEASIONED SITES USING BIOABSORBABLE CARRIERS ",US2006614047A | WO2007US24304A,2006,20071108US20070258903A1,"KLEINER Lothar W.,US | HOSSAINY Syed,US | ASTAFIEVA Irina,US | PACETTI Stephen,US | GLAUSER Thierry,US | DESNOYER Jessica,US | LUDWIG Florian N.,US",EP2032183A2 | JP2009539475A_ | US20070258903A1 | US20070259101A1 | US20080051335A1 | US20100222872A1 | US20110027188A1 | WO2007133382A2 | WO2007133382A3 | WO2007145961A2 | WO2007145961A3 | WO2008088456A2 | WO2008088456A3,,EP1721625A2 | US20050209680A1 | WO2005053766A1 | WO2007024552A1 | WO2007133382A2 | WO2008024131A2,"ABBOTT CARDIOVASCULAR SYSTEMS INC.,US | KLEINER Lothar W.,US | HOSSAINY Syed,US | ASTAFIEVA Irina,US | PACETTI Stephen,US | GLAUSER Thierry,US | DESNOYER Jessica,US | LUDWIG Florian N.,US",US,"http://www.google.com/patents?q=METHODS,+COMPOSITIONS+AND+DEVICES+FOR+TREATING+LEASIONED+SITES+USING+BIOABSORBABLE+CARRIERS+&btnG=Search+Patents",0
1398,WO1989003426A1,,,,,,,,,http://www.google.com/patents?q=&btnG=Search+Patents,"/patents/css/_5454e75c53d53ec46715621c069e50e4/patents_homepage_bundle.css"" type=""text/css",,0
1468,WO2010005740A3,PROCÉDÉS POUR LA PRÉPARATION DE COPOLYMÈRES DIBLOCS FONCTIONNALISÉS AVEC UN AGENT DE CIBLAGE DESTINÉS À ÊTRE UTILISÉS DANS LA FABRICATION DE NANOPARTICULES CIBLÉES THÉRAPEUTIQUES ,US200861712P | WO2009US47554A,2008,20100114WO2010005740A2,"ALI Mir M.,US | HRKACH Jeff,US | ZALE Stephen E.,US",EP2285350A2 | US20100104645A1 | WO2010005740A2 | WO2010005740A3,,US20020197261A1 | US20050042298A1 | US20050266067A1,"BIND BIOSCIENCES INC.,US | ALI Mir M.,US | HRKACH Jeff,US | ZALE Stephen E.,US",US,http://www.google.com/patents?q=PROCÉDÉS+POUR+LA+PRÉPARATION+DE+COPOLYMÈRES+DIBLOCS+FONCTIONNALISÉS+AVEC+UN+AGENT+DE+CIBLAGE+DESTINÉS+À+ÊTRE+UTILISÉS+DANS+LA+FABRICATION+DE+NANOPARTICULES+CIBLÉES+THÉRAPEUTIQUES+&btnG=Search+Patents,0
1491,WO2009086656A1,Y-TYPE POLYETHYLENE GLYCOL MODIFIED G-CSF AND PREPARATION METHOD AND USE THEREOF ,WO2007CN3897A,2007,20090716AU2007363326A1,"WANG Shiyuan,CN | ZHENG Jianhua,CN | SUN Li,CN | CAI Huili,CN | YANG Meihua,CN | HE Yan,CN | CHEN Ping,CN | DENG Hongyuan,CN | ZHONG Liping,CN | HUANG Shuying,CN",AU2007363326A1 | CA2710841A1 | CN101627056A_ | EP2236521A1 | WO2009086656A1,,CN1243779C | CN1778821A | WO2006094530A1,"BIOSTEED GENE EXPRESSION TECH. CO. LTD.,CN | WANG Shiyuan,CN | ZHENG Jianhua,CN | SUN Li,CN | CAI Huili,CN | YANG Meihua,CN | HE Yan,CN | CHEN Ping,CN | DENG Hongyuan,CN | ZHONG Liping,CN | HUANG Shuying,CN",CN,http://www.google.com/patents?q=Y-TYPE+POLYETHYLENE+GLYCOL+MODIFIED+G-CSF+AND+PREPARATION+METHOD+AND+USE+THEREOF+&btnG=Search+Patents,0
1498,WO2009142271A1,CANCER STEM CELL HAVING HIGH LEVEL OF SLD5 EXPRESSION THEREIN ,JP2008133392A | JP2008272740A | WO2009JP59373A,2008,20091126WO2009142271A1,"TAKAKURA  Nobuyuki,JP | UENO  Masaya,JP",WO2009142271A1,,WO2006115243A1,"THE NEW INDUSTRY RESEARCH ORGANIZATION,JP | OSAKA UNIVERSITY,JP | TAKAKURA  Nobuyuki,JP | UENO  Masaya,JP",JP,http://www.google.com/patents?q=CANCER+STEM+CELL+HAVING+HIGH+LEVEL+OF+SLD5+EXPRESSION+THEREIN+&btnG=Search+Patents,0
1517,WO2002066051A1,USE OF THE G-CSF AS ADJUVANT TREATMENT IN CONNECTIVE TISSUE RECONTRUCTION ,FR20012406A | WO2002FR480A,2001,20020823FR2820979A1,"POURQUIER Didier,FR | MOUKOKO Didier,FR",AT468133T_ | AU2002235991A1 | DE60236411D1 | DK1365795T3 | EP1365795A1 | EP1365795B1 | ES2346044T3 | FR2820979A1 | FR2820979B1 | PT1365795E_ | WO2002066051A1 | WO2002066051A8,WO2005032579A1,EP169566A1 | US4810643A | WO1987001132A1 | WO1998051317A1 | WO1999001145A1,"POURQUIER Didier,FR | MOUKOKO Didier,FR",FR,http://www.google.com/patents?q=USE+OF+THE+G-CSF+AS+ADJUVANT+TREATMENT+IN+CONNECTIVE+TISSUE+RECONTRUCTION+&btnG=Search+Patents,0
