Publication Number,Title,Claims
WO2004053069A3,PROTECTION OF STEM CELLS FROM CYTOTOXIC AGENTS BY MODULATION OF &#946;-CATENIN SIGNALING PATHWAYS ,
WO2008086813A3,PEPTIDES DERIVED FROM PROTEINS OF THE INSULIN SUPER-FAMILY ,
WO2008098000A3,METHOD FOR THE COLLECTION AND DISTRIBUTION OF CORD BLOOD STEM CELLS ,
WO2005030961A1,NOVEL NERVE STEM CELL MARKER ,
WO2009076055A3,MULTIPLEXED GENOMIC GAIN AND LOSS ASSAYS ,
WO2003089619A3,PLACENTAL DERIVED STEM CELLS AND USES THEREOF ,
WO2001036589A3,HUMAN EX VIVO IMMUNE SYSTEM ,
WO2009155777A1,THE USE AND METHOD OF THE COMPOUND OF FASUDIL AND THE PHARMACEUTICAL COMPOSITION THEREOF ,
WO2009135976A1,MÉTODO PARA GENERAR ANTICUERPOS MONOCLONALES QUE RECONOCEN CÉLULAS PROGENITORAS ,
WO2010001989A1,"AGENT FOR REDUCING CANCER STEM CELL AND/OR CANCER PROGENITOR CELL, AND AGENT FOR PREVENTING RECURRENCE AND/OR METASTASIS OF CANCER ",
WO2009124213A3,DENTAL STEM CELL DIFFERENTIATION ,
WO2008137629A3,IDENTIFYING GERMLINE COMPETENT EMBRYONIC STEM CELLS ,
WO2009142717A3,METHODS AND PRODUCTS FOR DEDIFFERENTIATION OF CELLS ,
WO2008073631A3,COMPOSITION FOR CARTILAGE ,
WO2001066139A9,USE OF A COMPOUND THAT SELECTIVELY BINDS TO CD123 TO IMPAIR HEMATOLOGIC CANCER PROGENITOR CELL ,
WO2003016502A9,TRAMDORINS AND METHODS OF USING TRAMDORINS ,
WO2005118920A3,METHODS FOR GENERATING NEURONAL CELLS FROM HUMAN EMBRYONIC STEM CELLS AND USES THEREOF ,
WO2008014426A3,METHODS OF INHIBITING TUMOR CELL AGGRESSIVENESS USING THE MICROENVIRONMENT OF HUMAN EMBRYONIC STEM CELLS ,
WO2009023246A3,PLURIPOTENT ADULT STEM CELLS ,
WO2007146123A3,PLACENTAL NICHE AND USE THEREOF TO CULTURE STEM CELLS ,
WO2008151386A8,MEGAKARYOCYTE DIFFERENTIATION ,
WO2002102143A1,TRANSGENIC ANIMAL TRANSFORMED USING GREEN FLUORESCENT PROTEIN GENE ,
WO2003070171A3,MYELINATION OF CONGENITALLY DYSMYELINATED FOREBRAINS USING OLIGODENDROCYTE PROGENITOR CELLS ,
WO2000049137A3,PLURIPOTENTIAL CELL DERIVED FROM AN EMBRYONIC STEM CELL AND A NUCLEUS OF A SOMATIC CELL ,
WO2008093646A1,PEPTIDE CAPABLE OF ACTIVATING WNT SIGNALING ,
WO2003024472A3,PROLACTIN INDUCED INCREASE IN NEUTRAL STEM CELL NUMBERS AND THERAPEUTICAL USE THEREOF ,
WO2003078631A1,NOVEL GENES ,
WO2008030610A3,HUMAN TRANSCRIPTOME CORRESPONDING TO HUMAN OOCYTES AND USE OF SAID GENES OR THE CORRESPONDING POLYPEPTIDES TO TRANS-DIFFERENTIATE SOMATIC CELLS ,
WO2008129560A3,AN IN VITRO HUMAN EMBRYONIC MODEL AND A METHOD THEREOF ,
WO2001032841A3,METHOD OF IN VITRO T CELL DIFFERENTIATION OF CD34 ,
WO2010018996A3,"HUMAN NEURAL STEM CELL, AND PHARMACEUTICAL COMPOSITION FOR THE TREATMENT OF CENTRAL OR PERIPHERAL NERVOUS SYSTEM DISORDERS AND INJURIES USING SAME ",
WO2008099006A3,MITOGEN INDEPENDENCE IDENTIFIES A HIGHLY MALIGNANT POPULATION OF TUMOR STEM CELLS ,
WO2007046398A1,STEM CELL-SPECIFIC PROMOTER ,
WO2003039232A3,ENDOTHELIAL CELL DERIVED HEMOTOPOIETIC GROWTH FACTOR ,
WO2007087612A3,DETECTION AND DIAGNOSIS OF SMOKING RELATED CANCERS ,
WO2003090512A3,REGENERATION OF ENDOGENOUS MYOCARDIAL TISSUE BY INDUCTION OF NEOVASCULARIZATION ,
WO2007027583A3,METHOD OF ISOLATING STEM CELLS AND IDENTIFYING DIFFERENTIALLY EXPRESSED GENES IN SONIC HEDGEHOG EXPRESSING CELLS AND DESCENDENT CELLS ,
WO2005083062A1,CELL VACCINE ,
WO2009145557A3,USE OF PHYSCION-8-O-BETA-D-GLUCOPYRANOSIDE OR PHYSCION FOR PROMOTING OSTEOBLAST ACTIVITY ,
WO2004029200A3,METHOD OF ENHANCING PROLIFERATION AND/OR HEMATOPOIETIC DIFFERENTIATION OF STEM CELLS ,
WO2008020085A3,USE OF CHLORO- AND FLUOROMETHYL KETONE DERIVATIVES IN ANTI-VIRAL THERAPY ,
WO2007092487A8,"MATERIALS AND METHODS FOR IDENTIFYING AGENTS THAT MODULATE NORRIN. NORRIN MIMETICS, AND AGENTS IDENTIFIED THEREBY ",
WO2008060367A3,HUMAN ANTIBODIES THAT BIND CXCR4 AND USES THEREOF ,
WO2001022921A3,PREVENTION OF ATHEROSCLEROSIS AND UNDESIRED BLOOD CLOTTING BY REDUCING VON WILLEBRAND FACTOR ,
WO2005039505A3,COMPOSITIONS AND METHODS FOR HEALTHY PREGNANCY ,
WO2009010885A3,USE OF CD200 AS A MESENCHYMAL STEM CELLS MARKER ,
WO2002026941A3,PRIMITIVE NEURAL STEM CELLS AND METHOD FOR DIFFERENTIATION OF STEM CELLS TO NEURAL CELLS ,
WO2007119759A1,DOPAMINE-PRODUCING NEURON PROGENITOR CELL MARKER 187A5 ,
WO1999053022A3,SELECTION OF LINEAGE SPECIFIC CELLS AFTER DIFFERENTIATION OF PROGENITOR CELLS ,
WO2010097793A3,ISOLATED POPULATIONS OF RENAL STEM CELLS AND METHODS OF ISOLATING AND USING SAME ,
WO2006079036A3,METHODS AND COMPOSITIONS FOR ENCAPSULATION OF CELLS ,
WO2007008697A3,COMPOSITIONS AND METHODS FOR REFOLDING OF DENATURED PROTEINS ,
WO2003057836A3,EMBRYONIC OR STEM-LIKE CELL LINES PRODUCED BY CROSS SPECIES NUCLEAR TRANSPLANTATION AND METHODS FOR ENHANCING EMBRYONIC DEVELOPMENT BY GENETIC ALTERATION OF DONOR CELLS OR BY TISSUE CULTURE CONDITIONS ,
WO2005095445A1,NOVEL BASIC ANTIBACTERIAL PEPTIDE AND UTILIZATION THEREOF ,
WO2005044365A3,THERAPY VIA TARGETED DELIVERY OF NANOSCALE PARTICLES ,
WO2005115133A1,METHOD OF GENE INTRODUCTION IN IN-VIVO SPERMATOGENIC CELL ,
WO2003088994A3,MODIFIED VACCINIA VIRUS ANKARA FOR THE VACCINATION OF NEONATES ,
WO2008011072A3,"SELECTIVE ANDROGEN RECEPTOR MODULATORS, ANALOGS AND DERIVATIVES THEREOF AND USES THEREOF ",
WO2009023194A3,HORMONE RESPONSIVE TISSUE CULTURE SYSTEM AND USES THEREOF ,
WO1988007575A1,HUMAN INTERLEUKIN-3 PRODUCING CELLS AND PROCESS FOR PRODUCING HUMAN INTERLEUKIN-3 ,
WO2002070023A3,COMPOSITIONS COMPRISING BONE MARROW CELLS TOGETHER WITH DEMINERALIZED AND/OR MINERALIZED BONE MATRIX AND USES THEREOF IN THE INDUCTION OF BONE AND CARTILAGE FORMATION ,
WO2007109668A3,COMPOSITIONS AND METHODS FOR IMPROVING BONE MASS THROUGH MODULATION OF NOVEL RECEPTORS OF PTH AND FRAGMENTS THEREOF ,
WO2006025937B1,"EMBRYONIC STEM CELL DERIVATIVES, AND METHODS OF MAKING AND USING THE SAME ",
WO2007056593A3,&#945;-HELIX MIMETICS AND METHOD RELATING TO THE TREATMENT OF CANCER STEM CELLS ,
WO2007092222A3,METHOD OF CHARACTERIZING A BIOLOGICALLY ACTIVE COMPOUND ,
WO2004020601A3,NEUROGENESIS FROM HEPATIC STEM CELLS ,
WO1998003633A1,ENZYMATIC PROCESS FOR THE DISSOCIATION OF ANIMAL TISSUE CELLS AND APPLICATION OF SUCH PROCESS ,
WO2008102855A1,COMPOSITION FOR TREATMENT OF CARTILAGE DISEASE ,
WO2001092482A1,METHOD OF CONCENTRATING AND SEPARATING DOPAMINERGIC NEURONS ,
WO2005113752A3,METHODS AND COMPOSITIONS FOR PRODUCING GERM CELLS FROM PERIPHERAL BLOOD DERIVED GERMLINE STEM CELLS ,
WO2002064756A8,STEM CELL IDENTIFICATION ,
WO2001079494A1,AGONIST ANTIBODIES ,
WO1995035373A3,NUCLEIC ACID MOLECULES ENCODING HUMAN CONTACTIN ,
WO2009012428A3,DIFFERENTIATION OF HUMAN EMBRYONIC STEM CELLS ,
WO2003003824A1,POTENTIAL-DEPENDENT CA ,
WO2008137641A3,EX VIVO EXPANSION OF HUMAN HEMATOPOIETIC STEM CELLS ,
WO2008002933A3,COMBINATION OF FCGAMMARIIB ANTIBODIES AND CD20-SPECIFIC ANTIBODIES AND METHODS OF USE THEREOF ,
WO2010039823A3,COMPOSITIONS AND METHODS FOR TISSUE REPAIR WITH EXTRACELLULAR MATRICES ,
WO2010047939A3,CELL GROWTH ,
WO1999000516A3,NEURONAL STEM CELL GENE,
WO2008099561A1,AGENT FOR PROMOTING CELL PROLIFERATION USING ANTIMICROBIAL PEPTIDE AND METHOD FOR PROMOTING CELL PROLIFERATION USING SERUM-FREE MEDIUM CONTAINING THE SAME ,
WO2006056623A1,CCR6-DEFICIENT MICE OR CELLS AND MODULATION OF INFLAMMATORY DISEASES ,
WO2010068955A3,MICROENVIRONMENT NICHE ASSAY FOR CiPS SCREENING ,
WO2009050696A3,COMPOSITION AND METHOD FOR CELL ACTIVATION AND TISSUE REPAIR USING NANOPARTICLES AND LIGHT ,
WO2007022515A9,STEM CELL DERIVED FACTORS FOR TREATING PATHOLOGIC CONDITIONS ,
WO2006023209A3,"USES OF NOTCH RECEPTORS, NOTCH LIGANDS, AND NOTCH MODULATORS IN METHODS RELATED TO METABOLIC DISEASES ",
WO2009059056A3,A GENETICALLY ENCODED BORONATE AMINO ACID ,
WO2009143624A8,METHODS OF DIAGNOSING REJECTION OF A KIDNEY ALLOGRAFT USING GENOMIC OR PROTEOMIC EXPRESSION PROFILING ,
WO2008155534A9,NEUROSTEROID COMPOUNDS ,
WO2010048627A3,"POTENTIOMETRIC SENSORS BASED ON SURFACE MOLECULAR IMPRINTING, AND NANOPARTICLE COMPOSITION FOR THE DETECTION OF CANCER BIOMARKERS AND VIRUSES AND METHODS OF USE THEREOF ",
WO2010110346A1,LEUKEMIA STEM CELL MARKERS ,
WO2009133940A1,PHARMACEUTICAL AGENT FOR PROMOTING THE FUNCTIONAL REGENERATION OF DAMAGED TISSUE ,
WO2005112542A2,CARTILAGE AND BONE REPAIR COMPOSITION ,
WO2010058605A1,METHOD FOR EVALUATING STATE OF CELLS ,
WO2007087293A3,MAPC THERAPEUTICS WITHOUT ADJUNCTIVE IMMUNOSUPPRESSIVE TREATMENT ,
WO2003105908B1,METHODS AND COMPOSITIONS USING CELLULAR ASIALODETERMINANTS AND GLYCOCONJUGATES FOR TARGETING CELLS TO TISSUES AND ORGANS ,
WO1997039107A3,METHODS FOR INCREASING THE MATURATION OF CELLS,
WO2004035774A3,EXPRESSION VECTORS FOR SELECTION FROM STEM CELLS OF DIFFERENTIATED CARDIOMYOCYTES ,
WO2004074319A1,PHYSIOLOGICALLY ACTIVE PEPTIDES AND DRUGS CONTAINING THE SAME ,
WO2000078931A3,"NEURONAL CELL MATERIAL, USE OF SAID MATERIAL AS A TRANSPLANT AND METHOD FOR PRODUCING THE SAME ",
WO2005042723A9,NOVEL MULTIPOTENT STEM CELLS AND USE THEREOF ,
WO2001021766A9,METHODS AND DEVICES FOR OBTAINING NON-HEMATOPOIETIC LINEAGE CELLS FROM HEMATOPOIETIC PROGENITOR CELLS ,
WO2007047468A3,IMMUNOMODULATION USING PLACENTAL STEM CELLS ,
WO2008076671A4,A BIODEGRADABLE OSTEOGENIC POROUS BIOMEDICAL IMPLANT WITH IMPERMEABLE MEMBRANE ,
WO2007011041A1,GENETICALLY MODIFIED ANTIBODY COMPOSITION ,
WO2001036459A3,NOVEL USE OF HCC-2 ,
WO2007061750A3,ADIPOSE TISSUE DERIVED STROMAL CELLS FOR THE TREATMENT OF NEUROLOGICAL DISORDERS ,
WO2009017082A1,"GENETICALLY MODIFIED NON-HUMAN MAMMAL DISPLAYING ABNORMAL BEHAVIOR, AND METHOD FOR PRODUCTION THEREOF ",
WO2006121454A3,USE OF MAPC OR PROGENY THEREFROM TO POPULATE LYMPHOHEMATOPOIETIC TISSUES ,
WO2009100137A3,MAGNETIC CELLS FOR LOCALIZING DELIVERY AND TISSUE REPAIR ,
WO2007037486A1,METHOD FOR CULTIVATION OF HAIR FOLLICULAR DERMAL SHEATH CELL ,
WO2004053084A3,DOPAMINERGIC NEURONS DIFFERENTIATED FROM EMBRYONIC CELLS FOR TREATING NEURODEGENERATIVE DISEASES ,
WO2003105774A3,"COMPOUNDS USEFUL FOR THE TREATMENT OF CANCER, COMPOSITIONS THEREOF AND METHODS THEREWITH ",
WO2008089448A3,METHODS AND COMPOSITIONS FOR PROMOTING SURVIVAL & PROLIFERATION OF ENDOTHELIAL CELLS & STIMULATING ANGIOGENESIS ,
WO2001028574A3,METHODS FOR INDUCING ,
WO2010021390A1,ORGAN REGENERATION METHOD UTILIZING iPS CELL AND BLASTOCYST COMPLEMENTATION ,
WO2002059278A3,DIFFERENTIATION OF STEM CELLS TO PANCREATIC ENDOCRINE CELLS ,
WO2007063545A3,METHODS OF IMPROVING STEM CELL HOMING AND ENGRAFTMENT ,
WO2008011524A3,METHOD OF USING MITOTICALLY INACTIVATED STEM CELLS FOR DAMAGED TISSUE REPAIR ,
WO2008057144A3,FUNCTIONAL NEGATIVE REGULATORY DOMAIN SEQUENCES FROM HUMAN NOTCH1 AND 2 AND ISOLATED LNR DOMAINS FROM HUMAN NOTCH1 ,
WO2008088863A3,STEM CELL GENE TARGETING ,
WO1989009788A1,,
WO2008058942A3,METHOD OF CELL CULTURE AND METHOD OF TREATMENT COMPRISING A VEPO PROTEIN VARIANT ,
WO2000026250A1,HUMAN H37 PROTEINS AND cDNAS ENCODING THE SAME ,
WO2003060107A1,"SEPARATION, PREPARATION AND USE OF HUMAN EMBRYO DORSAL ROOT GANGLION (DRG) STEM CELL ",
WO2003062369A3,EXPANSION OF RENEWABLE STEM CELL POPULATIONS ,
WO2007053207A3,METHODS FOR CONTROLLING STEM CELL DIFFERENTIATION ,
WO2010045389A4,METHOD AND APPARATUS FOR INCREASING ADIPOSE VASCULAR FRACTION ,
WO2004060910A3,BIOACTIVE PEPTIDES AND UNIQUE IRES ELEMENTS FROM MYELIN PROTEOLIPID PROTEIN PLP/DM20 ,
WO2005078119A1,PROBE FOR DETECTING NUCLEAR RECEPTOR AGONIST OR ANTAGONIST AND METHOD OF SCREENING AGONIST OR ANTAGONIST TO NUCLEAR RECEPTOR WITH THE USE OF THE SAME ,
WO2009021232A3,"HIGH-THROUGHPUT, WHOLE-ANIMAL SCREENING SYSTEM ",
WO2002008388A3,STEM CELL-LIKE CELLS ,
WO2003060077A3,"ENDOTHELIAL STEM CELLS, POPULATIONS, METHODS OF ISOLATION AND USE THEREOF ",
WO2007134274A3,ANTIBODIES TO UROKINASE- TYPE PLASMINOGEN ACTIVATOR RECEPTOR(UPAR)BIND CANCER STEM CELLS: USE IN DIAGNOSIS AND THERAPY ,
WO2007009393A1,THE USE OF CHLOROGENIC ACID IN THE MANUFACTURE OF MEDICAMENTS FOR INCREASING THE EFFECT OF BONE MARROW CELLS ,
WO2007062387A3,HAIR GRAFTS DERIVED FROM PLUCKED HAIR ,
WO2006085482A1,SELF-REPLICATION FACTOR AND AMPLIFICATION METHOD OF HEMATOPOIETIC STEM CELL ,
WO2008042236A3,COMPOSITIONS AND METHODS FOR DIAGNOSING AND TREATING CANCER ,
WO2007044867A3,IMAGING AGENTS AND METHODS OF USE THEREOF ,
WO2002040645A3,CELL CONSTRUCTS WHICH CAN BE OBTAINED FROM MESENSCHYMAL STEM CELLS AND CELLS DERIVABLE THEREFROM AND THE USE THEREOF ,
WO2007099162A3,HYDROXYLATED LONG-CHAIN RESVERATROL DERIVATIVES USEFUL AS NEUROTROPHIC AGENTS ,
WO2008092081A8,TARGETED DELIVERY OF SIRNA ,
WO2010013906A9,METHOD FOR SEPARATING HIGHLY ACTIVE STEM CELLS FROM HUMAN STEM CELLS AND HIGHLY ACTIVE STEM CELLS SEPARATED THEREBY ,
WO2009059032A3,USES AND ISOLATION OF VERY SMALL EMBRYONIC-LIKE (VSEL) STEM CELLS ,
WO2002103033A1,METHOD OF DETECTING AND SEPARATING UNDIFFERENTIATED LIVER CELLSS USING DLK ,
WO2001080633A8,SURFACTANT PROTEIN D FOR THE PREVENTION AND DIAGNOSIS OF PULMONARY EMPHYSEMA ,
WO2007098047A3,METHODS AND COMPOSITIONS FOR THE TREATMENT OF PARKINSON'S DISEASE ,
WO2005003321A3,METHODS OF PRODUCING DIFFERENTIATED HEMATOPOIETIC CELLS FOR TREATMENT OF CYTOPENIA ,
WO2007015906A3,METHODS AND COMPOSITIONS FOR SMOOTH MUSCLE RECONSTRUCTION ,
WO2007136592A3,"2-0X0-L,2-DIHYDR0QUIN0LINE DERIVATIVES, COMPOSITIONS, AND USES THEREOF AS ANTIPROLIFERATIVE AGENTS ",
WO2006130433A3,TREATMENT OF ISCHEMIA USING STEM CELLS ,
WO2003090689A3,NEURODEGENERATIVE DISORDER TREATMENT USING GDNF SECRETING NEURAL CELLS ,
WO2004072251A9,DIRECTED GENETIC MODIFICATIONS OF HUMAN STEM CELLS ,
WO2007102812A3,NATIVELY GLYCOSYLATED MAMMALIAN BIOLOGICAL MOLECULES PRODUCED BY ELETROMAGNETICALLY STIMULATING LIVING MAMMALIAN CELLS ,
WO2007119180A3,SURVIVAL AND DEVELOPMENT OF NEURAL CELLS ,
WO2009121953A3,EXTRACELLULAR MATRIX COMPRISING PLATELET FACTORS ,
WO2004048408A8,ASB-A TRANSCRIPTION REPRESSOR PROTEINS AND NUCLEIC ACIDS AND THEIR APPLICATION IN EXPANSION OF STEM CELLS ,
WO2010121465A1,NOUVEAU MILIEU SANS SÉRUM POUR L'INDUCTION RAPIDE DE CELLULES SOUCHES PLURIPOTENTES AVEC UN RENDEMENT ÉLEVÉ ET SON PROCÉDÉ D'UTILISATION ,
WO2008106485A3,TISSUE-ENGINEERED SILK ORGANS ,
WO2000006704A3,HEMATOPOIETIC CELL COMPOSITION FOR USE IN TRANSPLANTATION ,
WO2006022377A1,METHOD OF SELECTING MYOCARDIAL CELLS BY USING INTRACELLULAR MITOCHONDRIA AS INDICATION ,
WO2003025179A1,"NOVEL POLYPEPTIDE, DNA THEREOF AND USE OF THE SAME ",
WO2007110343A3,COMBINATION OF AVIAN CELL MARKERS ,
WO2006047310A3,HOLLOW AND POROUS ORTHOPAEDIC OR DENTAL IMPLANT THAT DELIVERS A BIOLOGICAL AGENT ,
WO2005017160A3,MOBILIZATION OF HEMATOPOIETIC CELLS ,
WO1999064565A9,REGULATION OF HEMATOPOIETIC STEM CELL DIFFERENTIATION BY THE USE OF HUMAN MESENCHYMAL STEM CELLS ,
WO2008056166A3,DIFFERENTIATION OF PLURIPOTENT CELLS INTO PRIMARY GERM LAYER PROGENITORS ,
WO2000047238A9,INTEGRATION OF TRANSPLANTED NEURAL PROGENITOR CELLS INTO NEURAL TISSUE OF IMMATURE AND MATURE DYSTROPHIC RECIPIENTS ,
WO2007044418A3,"CELL CULTURE MEDIA, KITS AND METHODS OF USE ",
WO2005093047A3,3D-CARDIAC TISSUE ENGINEERING FOR THE CELL THERAPY OF HEART FAILURE ,
WO2010030986A3,CLEAN GENOME BACTOFECTION ,
WO2007073176A3,COMPOSITION COMPRISING A POLYUNSATURATED FATTY ACID FOR IMPROVING MEMBRANE COMPOSITION ,
WO2007075796A3,STAGE SPECIFIC FOLLICLE MATURATION SYSTEMS ,
WO2009120905A3,IMMUNOGLOBULIN AND/OR TOLL-LIKE RECEPTOR PROTEINS ASSOCIATED WITH MYELOGENOUS HAEMATOLOGICAL PROLIFERATIVE DISORDERS AND USES THEREOF ,
WO2007138119A8,PROCEDURE FOR THE PREPARATION OF UNILAMELLAR VESICLES FOR CRYOPRESERVATION AND THE CULTURE OF STEM CELLS AND EMBRYOS ,
WO2007039986A1,METHOD OF OBTAINING PANCREATIC ENDOCRINE CELLS FROM ADIPOSE TISSUE-ORIGIN CELLS ,
WO2007128443A3,"SPHERICAL OR NON-SPHERICAL MICROCAPSULES COMPRISING GLP-I PEPTIDES, THEIR PRODUCTION AND USE ",
WO2009151600A3,SMAD PROTEINS CONTROL DROSHA-MEDIATED MIRNA MATURATION ,
WO2009007852A3,MULTIPOTENT/PLURIPOTENT CELLS AND METHODS ,
WO2004091637A3,SYSTEM CAPABLE OF TREATING AND DEFINING VARIOUS DISEASES USING STEM CELLS ,
WO2007082305A3,BIODEGRADABLE ELASTOMERS ,
WO2010014990A3,METHOD OF PROMOTING NEUROGENESIS BY MODULATING SECRETASE ACTIVITIES ,
WO2008073331A3,METHOD OF GENERATION AND EXPANSION OF TISSUE-PROGENITOR CELLS AND MATURE TISSUE CELLS FROM INTACT BONE MARROW OR INTACT UMBILICAL CORD TISSUE ,
WO2008045831A3,ROBOTIC SURGICAL SYSTEM AND METHOD FOR AUTOMATIC CREATION OF ABLATION LESIONS ,
WO2008034929A1,METHOD FOR CULTURING AND MAINTAINING MAMMAL MULTIPOTENTIAL TRUNK CELLS AND PROGENITOR CELLS IN A NON-DIFFERENTIATED STATE ,
WO2004106502A1,MESENCHYMAL STEM CELL ,
WO2010032964A2,"PHARMACEUTICAL COMPOSITION FOR PREVENTING LIVER INJURY OR IMPROVING LIVER FUNCTION, CONTAINING THE ACTIVATED WATER OF ENA ACTIMINERAL RESOURCE A AS AN ACTIVE INGREDIENT ",
WO2008070258A3,DIRECTED DIFFERENTIATION OF HUMAN EMBRYONIC STEM CELLS INTO MESENCHYMAL/STROMAL CELLS ,
WO2003046181A1,NON-HUMAN TRANSGENIC MAMMALS USED AS MODELS FOR HUMAN PATHOLOGIES ORIGINATING FROM STEM CELLS ,
WO2006006692A1,ANIMAL TISSUE-ECCENTRICALLY LOCATED PLURIPOTENT CELL PROLIFERATING SELECTIVELY IN LOW-SERIUM MEDIUM ,
WO2007019107A3,"ADIPOSE TISSUE STEM CELLS, PERIVASCULAR CELLS AND PERICYTES ",
WO2009020596A3,"EMBRYONIC CEREBROSPINAL FLUIS (E-CSF), PROTEINS FROM E-CSF, AND RELATED METHODS AND COMPOSITIONS ",
WO2007044982A3,METHODS FOR THE PRESERVATION OF PLATELET EFFICACY DURING STORAGE ,
WO2007055178A1,METHOD OF CELL FRACTIONATION AND SUBSTRATE TO BE USED FOR THE METHOD ,
WO2008082323A1,GROWTH STIMULATING AND CELL REGENERATING COMPOSITION AND A METHOD FOR THE PRODUCTION THEREOF. ,
WO2006055338A3,METHODS AND SYSTEMS FOR IDENTIFYING AND ISOLATING STEM CELLS AND FOR OBSERVING MITOCHONDRIAL STRUCTURE AND DISTRIBUTION IN LIVING CELLS ,
WO2004067744A1,SELF-REPLICATION DETERMINING FACTOR OF EMBRYONIC STEM CELL ,
WO2010103475A3,USE OF SERINE PROTEASE INHIBITORS IN THE TREATMENT OF NEUTROPENIA ,
WO2001096532A3,METHOD OF GENERATING PLURIPOTENT MAMMALIAN CELLS BY FUSION OF A CYTOPLAST FRAGMENT WITH A KARYOPLAST ,
WO2008019159A3,CONTROLLING OSTEOGENESIS BY INHIBITION OF OSTEOGENIC SUPPRESSORS ,
WO2009074807A3,METHODS ,
WO2008122595A3,BIODEGRADABLE THERAPEUTIC IMPLANT FOR BONE OR CARTILAGE REPAIR ,
WO2009069727A1,METHOD FOR CHEMICALLY MODIFYING BIOPOLYMER OR POLYPEPTIDE ,
WO2007080622A3,LUMINESCENT STEM CELLS AND USES THEREOF ,
WO2008151088A3,IMMUNOGLOBULIN CONSTANT REGION FC RECEPTOR BINDING AGENTS ,
WO2004071443A3,METHODS AND COMPOSITIONS FOR MODULATING STEM CELLS ,
WO2010083250A3,SINGLE-CELL NUCLEIC ACID ANALYSIS ,
WO2008090355A3,INHIBITORS OF STEM CELLS MARKERS ,
WO2009050742A8,"USE OF MICROVESICLES (MVS) FOR PREPARING A MEDICAMENT HAVING ADJUVANT ACTIVITY ON ENDOTHELIAL CELL TRANSPLANTATION, PARTICULARLY IN THE TREATMENT OF DIABETES BY PANCREATIC ISLET TRANSPLANTATION, AND RELATED METHOD ",
WO2009083203A3,TOPISCHE ANWENDUNG UND FORMULIERUNG VON ERYTHROPOIETIN FÜR DIE WUNDHEILUNG DER HAUT ,
WO2009110748A2,PROCÉDÉ DE SÉLECTION ET DE SÉPARATION DE CELLULES NORMALES ET DE CELLULES SPÉCIFIQUES AU MOYEN D'ONDES ULTRASONORES ,
WO2005040400A3,METHODS AND SYSTEMS FOR INFERRING TRAITS TO MANAGE NON-BEEF LIVESTOCK ,
WO2009116088A4,STEM CELL COMPOSITION FOR INDUCING TRANSPLANT TOLERANCE ,
WO2008090959A1,GENETICALLY RECOMBINANT ANTIBODY COMPOSITION HAVING ENHANCED EFFECTOR ACTIVITY ,
WO2008155534A3,NEUROSTEROID COMPOUNDS ,
WO2003023018A3,"A METHOD FOR ISOLATING, CULTURING AND DIFFERENTIATING INTESTINAL STEM CELLS FOR THERAPEUTIC USE ",
WO2003018805A1,HEMATOPOIETIC STEM CELL PROLIFERATION REGULATORS AND POLYNUCLEOTIDES ENCODING THE SAME ,
WO2008144508A3,MODULATING MHC CLASS II ANTIGEN PRESENTATION IN DENDRITIC CELLS PREVENTS DIABETES ,
WO2007044642A3,DEVICE AND METHOD FOR COMBINED MICROFLUIDIC-MICROMAGNETIC SEPARATION OF MATERIAL IN CONTINUOUS FLOW ,
WO2009095916A3,CD14 AND PEPTIDES THEREOF FOR PROTECTION OF CELLS AGAINST CELL DEATH ,
WO2007096115A3,COLLECTION AND SELECTION METHODS OF AN EMBRYONIC- LIKE STEM CELL POPULATION FROM HUMAN ADULT PERIODONTAL FOLLICULAR TISSUES ,
WO2004003130A1,CHITOSAN/ACIDIC BIOPOLYMER HYBRID FIBER AND CULTURE BASE FOR ANIMAL CELLS ,
WO2006093276A1,PLURIPOTENT STEM CELL DERIVED FROM CARDIAC TISSUE ,
WO2010134226A1,"ESTABLISHMENT OF MOTIF COMPRISING ACIDIC AMINO ACID, CAPABLE OF STABILIZING PROTEIN IN CELLS, AND APPLICABLE TO PROTEIN THERAPY, CONTROL OF DIFFERENTIATION/UNDIFFERENTIATION OF CELL AND ANTIBODY THERAPY ",
WO2008067408A3,METHOD OF ISOLATING AND PROPAGATING STEM CELLS FROM BENIGN TUMORS ,
WO2004092371A1,MOUSE WITH DEFICIENCY OF GLUTAMATE TRASNPORTER GLAST FUNCTION ,
WO2008027416A3,CATHETER FOR CELL DELIVERY ,
WO2005113748A3,MAPC GENERATION OF LUNG TISSUE ,
WO2008084566A1,"MODEL MOUSE, METHOD OF CONSTRUCTING THE SAME AND USE THEREOF ",
WO2007106507A3,DETECTION OF GENE EXPRESSION IN MIXED SAMPLE OR TISSUE ,
WO2009006174A3,MORSELIZED FOAM FOR WOUND TREATMENT ,
WO2008008857A3,THIOLATED MACROMOLECULES AND METHODS OF MAKING AND USING THEREOF ,
WO2009093692A1,ARTIFICIAL PEPTIDE AND USE THEREOF ,
WO2008085951A3,TREATMENT OF TUMORS BY ABLATING BONE MARROW-DERIVED ENDOTHELIAL PROGENITOR CELLS ,
WO2007016099A3,PROTECTION OF TRANSPLANTED STEM CELLS WITH HMG-COA REDUCTASE INHIBITORS ,
WO2007019522A3,REVERSAL OF ADULT ONSET DISORDERS WITH GRANULOCYTE-COLONY STIMULATING FACTORS ,
